Temps;Prix.Elec.Toute.Tranche;Prix.Bois.Tonne.Granule;Prix.Tonne.Propane;Prix.Gaz.TTC;Inflation;Part ER Prod
2007-01;11,2175;217,9495;1274,7638;5,283;1,4;0,043479654
2007-02;11,2175;217,9495;1274,7638;5,283;1,2;0,049780255
2007-03;11,2175;217,9495;1274,7638;5,283;1,2;0,058772763
2007-04;11,2175;207,16;1274,7638;5,283;1,3;0,052785769
2007-05;11,2175;207,16;1274,7638;5,283;1,2;0,060705411
2007-06;11,2175;207,16;1274,7638;5,283;1,3;0,071630625
2007-07;11,6295;213,6337;1274,7638;5,3073;1,2;0,060614049
2007-08;11,6295;213,6337;1274,7638;5,3073;1,3;0,049299144
2007-09;11,6295;213,6337;1274,7638;5,3073;1,6;0,038889339
2007-10;11,6295;217,9495;1299,942;5,3073;2,1;0,03484926
2007-11;11,6295;217,9495;1299,942;5,3073;2,6;0,032324513
2007-12;11,6295;217,9495;1299,942;5,3073;2,8;0,039817093
2008-01;11,0742;216,4409;1392,061;5,3403;3,2;0,049364673
2008-02;11,0742;216,4409;1407,0449;5,3403;3,2;0,0384396
2008-03;11,0742;216,4409;1407,0449;5,3403;3,5;0,051102408
2008-04;11,0742;211,8911;1407,0449;5,3403;3,4;0,064874184
2008-05;11,0742;211,8911;1429,8664;5,3403;3,7;0,069649851
2008-06;11,0742;211,8911;1443,6516;5,3403;4;0,087597512
2008-07;11,4118;213,1994;1489,7097;5,9907;4;0,059608449
2008-08;11,4118;213,1994;1512,7618;5,9907;3,5;0,044181816
2008-09;11,4118;213,1994;1512,7618;5,9907;3,4;0,050903667
2008-10;11,4118;215,9758;1505,9384;5,9907;3;0,038110546
2008-11;11,4118;215,9758;1466,7498;5,9907;1,9;0,04780646
2008-12;11,4118;215,9758;1381,5492;5,9907;1,2;0,046001492
2009-01;11,1689;218,3298;1365,4128;5,6712;0,8;0,047422508
2009-02;11,1689;218,3298;1335,445;5,6712;1;0,050968784
2009-03;11,1689;218,3298;1275,5557;5,6712;0,4;0,05812167
2009-04;11,1689;212,39;1247,9393;5,6712;0,1;0,068151272
2009-05;11,1689;212,39;1224,8872;5,6712;-0,3;0,074949002
